Discipline,FY,financial_Table,Category,Description,Amount
IM,2021,col 29,Unused Funds," Unused funds will be used for resident salaries and benefits, resident didactics and faculty development ",111869.27
EM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", CORD Membership Dues ,775
EM,2021,col 2,Unused Funds," Description, ",186725
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Educational Stipend for PGY1 residents ,25000
IM,2021,col 2,Non-Medical Benefits, Resident Work Attire and Uniforms ,3852
IM,2021,col 3,Training and Education Costs, Team Building Activity for October 2021 ,5000
IM,2021,col 4,Non-Medical Benefits, Wellness Activities to prevent resident burnout ,10500
IM,2021,col 5,Training and Education Costs, December Team Building Educational Activities ,5500
IM,2021,col 6,Unused Funds, Remaining funds will be spent on Resident Retreat and Wellness/Burnout Prevention ,25148
FM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", Online subscriptions ,1556
FM,2021,col 2,Meals, Resident Meals ,20705
FM,2021,col 3,Faculty Development, Faculty Stipends and Education ,15239
FM,2021,col 4,--Select One--," Description, ",0
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Partial salary for one resident ,37500
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty", Faculty Salaries+ Fringe Benefits (07/01/21-12/31/21) ,30129.9
FM,2021,col 2,Training and Education Costs, Monitors and Webcam Purchase for the Program ,538.36
FM,2021,col 3,Training and Education Costs, Objective Structured Clinical examinationss assessment for Residency training ,1247.39
FM,2021,col 4,Training and Education Costs, Training Expenses will use in the future ,5584.35
EM,2021,col 1,Training and Education Costs, Clinical Procedure Task Trainers ,9560
EM,2021,col 2,Faculty Development, Emergency Medical Services Leadership Development ,1908
EM,2021,col 3,Unused Funds, Unused ,26032
FM,2021,col 1,Medical Equipment, Breast Feeding Training Laerdal ,287.05
FM,2021,col 2,Training and Education Costs," Diversity Open House - FM resident candidates invited to attend this virtual open house. Discussed health disparities that affect our community; highlight our community med experiences; review diversity of our program, population we serve. Funds used for materials and food for faculty who participated. ",100
FM,2021,col 3,"Memberships, Subscriptions and Professional Activity Costs", Fam Med Residency Curriculum Resource Annual Membership for Fam Med Faculty through (AFMRD) Assoc of Fam Med Residency Directors ,1200
FM,2021,col 4,Faculty Development," (GUSI) Global Ultrasound Institute Conference 9/27/2021. Conference registration, hotel, and other expenses. One of our Fam Med faculty, Dr. Baran Onder attended the conference and trained and shared learning to our Fam Med faculty. ",1563.25
FM,2021,col 5,"Memberships, Subscriptions and Professional Activity Costs", (STFM) Society of Teachers of Fam Med renewal membership. First invoice. ,2590
FM,2021,col 6,"Memberships, Subscriptions and Professional Activity Costs", (STFM) Society of Teachers of Fam Med renewal membership. Second invoice. ,2220
FM,2021,col 7,Unused Funds, Unused funds to be used for faculty development and other training for our Fam Med Residency Program. ,29389.7
FM,2021,col 8,"Memberships, Subscriptions and Professional Activity Costs"," (AMSSM) American Med Society for Sports Med Membership for FM Resident, Andy Ma. ",150
FM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", UpToDate Subscription ,28659.3
FM,2021,col 2,"Memberships, Subscriptions and Professional Activity Costs", AMA Membership for Residents ,2160
FM,2021,col 3,Faculty Development, Faculty Development FD4ME - Ohio State ,3750
FM,2021,col 4,"Memberships, Subscriptions and Professional Activity Costs", NEJM Journal Subscription ,4367
FM,2021,col 5,"Salaries, Benefits and Wages for Residents", Resident Salaries ,23359.62
FM,2021,col 6,"Memberships, Subscriptions and Professional Activity Costs", AAFP Resident Dues ,680
FM,2021,col 7,Training and Education Costs, Resident Wellness Events/Journal Clubs ,1028.13
FM,2021,col 8,Travel Conferences, Resident Conference Costs ,5392.43
FM,2021,col 9,Licensing Fees, Resident Licensing Fees ,2380
FM,2021,col 10,"Salaries, Benefits and Wages for Faculty", Faculty Administrative Costs ,3223.52
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", Anita Bajpai Resident Salary ,37500
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,112500
FM,2021,col 2,--Select One--," Description, ",0
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Stephen Chua - Resident Salary - July 1, 2021 - December 31, 2021 ",31286.23
FM,2021,col 2,"Salaries, Benefits and Wages for Residents"," Justin Martin-Whitlock - Resident Salary - July 1, 2021 - December 31, 2021 ",31724.61
FM,2021,col 3,"Salaries, Benefits and Wages for Residents"," Marshall Roberts - Resident Salary - July 1, 2021 - December 31, 2021 ",29973.73
FM,2021,col 4,"Salaries, Benefits and Wages for Residents"," Peter Wei - Resident Salary - July 1, 2021 - December 31, 2021 ",19515.43
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Andrew Barsoum- Resident Salary and Benefits ,37500
IM,2021,col 1,"Salaries, Benefits and Wages for Faculty", Dr. Lamantia Salary ,134914
IM,2021,col 2,Medical Equipment, Butterfly Sonogram Machine ,7566
IM,2021,col 3,Medical Equipment, Butterfly Sonogram Machine ,3380
IM,2021,col 4,"Memberships, Subscriptions and Professional Activity Costs", Accreditation Council for Graduate Med Ed ,4140
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", 61.33% of Salaries for three residents for period 7/1/2021-12/31/2021 ,56170
IM,2021,col 2,"Salaries, Benefits and Wages for Residents", 61.33% of Benefits for three residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,16963
IM,2021,col 3,"Salaries, Benefits and Wages for Faculty", 61.33% of total Salaries and Wages for Program Director allocated to three residents for period 7/1/2021-12/31/2021. ,5574
IM,2021,col 4,Contractual Consultant Costs, 61.33% of total contractual fees paid to faculty allocated to three residents for period 7/1/2021-12/31/2021. ,20964
IM,2021,col 5,Information Technology (IT) Systems, 61.33% of total IT expenses allocated to three residents for period 7/1/2021-12/31/2021. ,5199
IM,2021,col 6,Training and Education Costs, 61.33% of total expenses for training and education allocated to three residents for period 7/1/2021-12/31/2021. ,18
IM,2021,col 7,Meals, 61.33% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,416
IM,2021,col 8,"Memberships, Subscriptions and Professional Activity Costs"," 61.33% of total expenses for dues , subscriptions and professional activities allocated to three residents for period 7/1/2021-12/31/2021. ",2899
IM,2021,col 9,"Salaries, Benefits and Wages for Other GME Staff", 61.33% of total Salaries and Wages for Program Coordinator allocated to three residents for period 7/1/2021-12/31/2021. ,3029
IM,2021,col 10,"Salaries, Benefits and Wages for Other GME Staff", 61.33% of total paid benefits for Program Coordinator allocated to three residents in period 7/1/2021-12/31/2021 ,915
IM,2021,col 11,Medical Equipment, 61.33% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,353
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Funds used to support resident, including stipends and medical benefits ",75000
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", 7/01/2021-12/31/2021 for Resident Salary ,37500
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Provided $62,000 toward salaries and $13,000 toward benefits for 3 residents at 0.32 FTE per resident for a total of 0.97 FTE. ",75000
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents"," Salary, benefits and housing stipend ",95000
Peds,2021,col 2,Training and Education Costs," Training for Community, Advocacy, Developmental pediatrics, Adolescent training ",30000
FM,1819,col 1,"Memberships, Subscriptions and Professional Activity Costs"," AAFP Membership for new faculty, Dr. Miguel Alvarez-Estrada ",440
FM,1819,col 2,Faculty Development," ACGME Conference for new faculty, Dr. Miguel Alvarez-Estrada ",345
FM,1819,col 3,Training and Education Costs, ASCCP Colposcopy Conference registration ,1345
FM,1819,col 4,"Salaries, Benefits and Wages for Residents", PGY3 Resident Alexandra Hamb 07/01/2021-12/31/2021 ,33681.27
FM,1819,col 5,Non-Medical Benefits, Inclusion Name Badges ,238.73
FM,1819,col 6,Non-Medical Benefits, Resident and Faculty Wellness Event - Olivewood Gardens - Organic gardening and cooking event ,1250
FM,1819,col 7,"Memberships, Subscriptions and Professional Activity Costs", ABFM Certification Payment ,200
FM,1819,col 8,--Select One--," Description, ",0
FM,2021,col 1,Training and Education Costs, Community Health Outreach; Mobile Health Van ,30000
FM,2021,col 2,"Memberships, Subscriptions and Professional Activity Costs"," STFM membership, Uworld, dropbox memberships ",3608
FM,2021,col 3,"Salaries, Benefits and Wages for Other GME Staff", Salary support for Program Coordinator ,3892
OBGYN,2021,col 1,Training and Education Costs, Sonosim and simulation equipment ,20168.04
OBGYN,2021,col 2,Unused Funds, unused ,79831.96
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Mahrose Iftikhar Resident Salary and Benefits ,6307.42
FM,2021,col 2,"Salaries, Benefits and Wages for Residents", Mahrose Iftikhar Resident Salary and Benefits ,5567.58
FM,2021,col 3,"Salaries, Benefits and Wages for Residents", Mahrose Iftikhar Resident Salary and Benefits ,5941.15
FM,2021,col 4,"Salaries, Benefits and Wages for Residents", Mahrose Iftikhar Resident Salary and Benefits ,2403.53
FM,2021,col 5,Contractual Consultant Costs, ER Residency Preceptor Services Jul-Sep 2021 ,277.66
FM,2021,col 6,Contractual Consultant Costs, ER Residency Preceptor Services Oct-Dec 2021 ,277.66
FM,2021,col 7,Licensing Fees, Mahrose Ifitkhar CA Medical License Application Fee ,540
FM,2021,col 8,Training and Education Costs, Mahrose Ifitkhar PEDS ER Rotation Travel Costs UC Davis ,2100
FM,2021,col 9,Training and Education Costs, Mahrose IfitkharABFM Resident In-Training Exam Fees ,50
FM,2021,col 10,"Memberships, Subscriptions and Professional Activity Costs", Mahrose Ifitkhar CAFP Resident Membership Fees ,35
FM,2021,col 11,Contractual Consultant Costs, ICU Residency Preceptor Services Oct 2021 ,1350
FM,2021,col 12,Training and Education Costs, Mahrose Ifitkhar Resident ALSO Course Training Fees ,150
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", 58.76% of Salaries for three residents for period 7/1/2021-12/31/2021 ,52546
FM,2021,col 2,"Salaries, Benefits and Wages for Residents", 58.76% of Benefits for three residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,15869
FM,2021,col 3,"Salaries, Benefits and Wages for Faculty", 58.76% of total Salaries and Wages for Program Director allocated to three residents for period 7/1/2021-12/31/2021. ,15151
FM,2021,col 4,Contractual Consultant Costs, 58.76% of total contractual fees paid to faculty allocated to three residents for period 7/1/2021-12/31/2021. ,14992
FM,2021,col 5,Information Technology (IT) Systems, 58.76% of total IT expenses allocated to three residents for period 7/1/2021-12/31/2021. ,5308
FM,2021,col 6,Licensing Fees, 58.76% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,54
FM,2021,col 7,Training and Education Costs, 58.76% of total expenses for training and education allocated to three residents for period 7/1/2021-12/31/2021. ,231
FM,2021,col 8,Meals, 58.76% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,596
FM,2021,col 9,"Memberships, Subscriptions and Professional Activity Costs"," 58.76% of total expenses for dues , subscriptions and professional activities allocated to three residents for period 7/1/2021-12/31/2021. ",1214
FM,2021,col 10,"Salaries, Benefits and Wages for Other GME Staff", 58.76% of total Salaries and Wages for Program Coordinator allocated to three residents for period 7/1/2021-12/31/2021. ,3175
FM,2021,col 11,"Salaries, Benefits and Wages for Other GME Staff", 58.76% of total paid benefits for Program Coordinator allocated to three residents in period 7/1/2021-12/31/2021 ,959
FM,2021,col 12,Medical Equipment, 58.76% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,886
FM,2021,col 13,Faculty Development, 58.76% of total expenses for faculty development allocated to three residents for period 7/1/2021-12/31/2021. ,1519
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", Tram Hoff Resident Salaries &amp; Benefits ,7122.11
FM,1819,col 2,"Salaries, Benefits and Wages for Residents", Tram Hoff Resident Salaries &amp; Benefits ,7122.11
FM,1819,col 3,"Salaries, Benefits and Wages for Residents", Tram Hoff Resident Salaries &amp; Benefits ,7122.1
FM,1819,col 4,"Salaries, Benefits and Wages for Residents", Tram Hoff Resident Salaries &amp; Benefits ,6798.37
FM,1819,col 5,"Salaries, Benefits and Wages for Residents", Tram Hoff Resident Salaries &amp; Benefits ,7122.1
FM,1819,col 6,"Salaries, Benefits and Wages for Residents", Tram Hoff Resident Salaries &amp; Benefits ,1156.39
FM,1819,col 7,Contractual Consultant Costs, ER Residency Preceptor Services Jul-Sep 2021 ,277.66
FM,1819,col 8,Contractual Consultant Costs, ER Residency Preceptor Services Oct-Dec 2021 ,277.66
FM,1819,col 9,Licensing Fees, Tram Hoff Licensing Application Fees ,416.5
FM,1819,col 10,Training and Education Costs, Tram Hoff ABFM In Training Exam Fee ,50
FM,1819,col 11,"Memberships, Subscriptions and Professional Activity Costs", CAFP Tram Hoff Resident Membership Fee ,35
FM,1819,col 12,Unused Funds, The remaining Funds will be spent in the next 6 monhs ,18750
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident benefits and salaries for 2 residents 7/1/2021-12/31/2021 ,78966
Peds,2021,col 2,"Salaries, Benefits and Wages for Faculty", Faculty teaching salary for 07/01/2021-12/31/2021 ,46034
OBGYN,2021,col 1,"Salaries, Benefits and Wages for Faculty"," Faculty wages and benefits for OB-GYN Residency Program Physicians: Stephanie Lin, Anne Kennard, Danielle Feldman, Brett Lebed, Jonathan Tammela, Mona Bazagan, Tad Callahan, Brian Crisp, Jade Mas, Larry Shields, Elaine Yin, and Eli Zinner ",112500
FM,2021,col 1,Training and Education Costs, FY Residents ACLS Training ,3120
FM,2021,col 2,Contractual Consultant Costs, Resident Coaching &amp; Development-Lee ,1781.5
FM,2021,col 3,Contractual Consultant Costs, Resident Coaching &amp; Development-Kyser ,420
FM,2021,col 4,Contractual Consultant Costs, Resident Coaching &amp; Development-Lee ,615.25
FM,2021,col 5,Contractual Consultant Costs, Resident Coaching &amp; Development-Lee ,428
FM,2021,col 6,Contractual Consultant Costs, Resident Coaching &amp; Development-Lee ,481.5
FM,2021,col 7,Contractual Consultant Costs, Resident Coaching &amp; Development-Lee ,642
FM,2021,col 8,"Salaries, Benefits and Wages for Residents", Resident Salaries ,17091.75
FM,2021,col 9,Contractual Consultant Costs, Resident Coaching &amp; Development-Lee ,420
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Salary, Benefits, and Wages for Residents ",25000
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", 2021 PGY Resident Salaries 7/1/21-12/31/21 ,25000
OBGYN,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", resident medical society memberships ,100
OBGYN,2021,col 2,Non-Medical Benefits," resident wellness, intern transition to residency ",8090.93
OBGYN,2021,col 3,Training and Education Costs, medical trainers and supplies ,207.63
OBGYN,2021,col 4,Unused Funds," We plan to utilize the unused funds on the following: Porcine lab ($20,000): we again had our lab postponed for Omicron, but have been given the green light for late spring New Faculty development ($60,000): we have hired new faculty who will undergo training and support, in addition to improving retention of core teaching faculty Trainee academic stipends ($15,000): trainees will get additional funding to support first year Simulation training Applied medical. The first three months were free, but now we are required to purchase the program Program support personnel for patient safety/QI initiatives ($21,601.44): We hired a new person for this position, but only lasted 2 months and found a new job. There is a tremendous need for optimizing the training/learning environment and teaching residents about quality improvement and patient safety and their own role in participating. We will look for a new individual in the next few weeks. Due to ongoing restrictions in response to the pandemic, we anticipate we will be able to utilize these funds by June 30, 2022. ",116601.44
OBGYN,2021,col 1,"Salaries, Benefits and Wages for Residents"," Funds used for resident salaries, benefits and wages. ",125000
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Angel Dolores Rodriguez ,38844.44
IM,2021,col 2,"Salaries, Benefits and Wages for Residents", Angel Dolores Rodriguez ,13426.92
IM,2021,col 3,"Salaries, Benefits and Wages for Residents", CHARGED TO AHS ,-27271.36
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents"," Description, ",145000
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,25000
IM,2021,col 2,Unused Funds, Unspent Funds ,25000
OBGYN,2021,col 1,"Salaries, Benefits and Wages for Faculty", Portion of benefits and salary for PD ,65000
OBGYN,2021,col 2,"Salaries, Benefits and Wages for Faculty", Portion of benefits and salary for Associate PD ,15000
OBGYN,2021,col 3,Contractual Consultant Costs, Preceptor rotation ,12453
OBGYN,2021,col 4,Training and Education Costs, Resident rotation ,7547
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Portion of 1 resident salary &amp; benefits ,25000
Peds,2021,col 1,"Salaries, Benefits and Wages for Faculty"," Indu Kannan, MD (Salary &amp; Fringe) ",69665.07
Peds,2021,col 2,Unused Funds, unused funds ,55113.59
Peds,2021,col 3,Non-Medical Benefits, wellness committee supplies (well-being of residents) ,221.34
IM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",50000
IM,2021,col 1,Contractual Consultant Costs," Consultant started creating curricula for new healthcare leadership and advocacy track. This consultant began working on the outline for the course, doing surveys, attending meetings, research into the field and giving recommendations for design of course ",15000
IM,2021,col 2,Medical Equipment, scrubs for overnight residents and faculty ,2600
IM,2021,col 3,Meals," Resident Appreciation Lunch, primary care faculty mentorship lunches ",4000
IM,2021,col 4,Travel Conferences, registration - primary care faculty curriculum conference ,3400
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident salary ,25000
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",125000
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents"," The $40,000 funds were used to support the 9th intern's salary and benefits from July-September 2021. ",40000
Peds,2021,col 2,"Salaries, Benefits and Wages for Residents"," The remaining $40,000 funds will be used to support the same position's salary and benefits from October-December 2021. ",40000
IM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, benefits and wages for residents ",16434
IM,2021,col 2,Meals, 3 meals/day x 180 days x 5 residents ,3500
IM,2021,col 3,Insurance, Malpractice insurance ,433
IM,2021,col 4,Contractual Consultant Costs," Faculty are contractual, not salary ",3629.97
IM,2021,col 5,"Memberships, Subscriptions and Professional Activity Costs", ACOI membership-Program Director ,495
IM,2021,col 6,Travel Conferences, ACGME annual conference-Program Director ,345
IM,2021,col 7,Non-Medical Benefits, Office supplies for residents ,163.03
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents"," Description, ",150000
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Chief Resident Salary ,25000
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", from 7/1/2021-12/31/2021 ,12500
IM,2021,col 2,"Salaries, Benefits and Wages for Residents", from 1/1/22-6/30/22 ,12500
OBGYN,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,37500
OBGYN,2021,col 2,Unused Funds, Unspent Funds ,37500
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", 58.76% of Salaries for four residents for period 7/1/2021-12/31/2021 ,70018
FM,1819,col 2,"Salaries, Benefits and Wages for Residents", 58.76% of Benefits for five residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,21145
FM,1819,col 3,"Salaries, Benefits and Wages for Faculty", 58.76% of total Salaries and Wages for Program Director allocated to four residents for period 7/1/2021-12/31/2021. ,20189
FM,1819,col 4,Contractual Consultant Costs, 58.76% of total contractual fees paid to faculty allocated to four residents for period 7/1/2021-12/31/2021. ,19977
FM,1819,col 5,Information Technology (IT) Systems, 58.76% of total IT expenses allocated to four residents for period 7/1/2021-12/31/2021. ,7073
FM,1819,col 6,Licensing Fees, 58.76% of total expenses allocated to four residents 7/1/2021-12/31/2021. ,70
FM,1819,col 7,Training and Education Costs, 58.76% of total expenses for training and education allocated to four residents for period 7/1/2021-12/31/2021. ,308
FM,1819,col 8,Meals, 58.76% of total expenses allocated to four residents 7/1/2021-12/31/2021. ,889
FM,1819,col 9,"Memberships, Subscriptions and Professional Activity Costs"," 58.76% of total expenses for dues , subscriptions and professional activities allocated to four residents for period 7/1/2021-12/31/2021. ",1618
FM,1819,col 10,"Salaries, Benefits and Wages for Other GME Staff", 58.76% of total Salaries and Wages for Program Coordinator allocated to four residents for period 7/1/2021-12/31/2021. ,4231
FM,1819,col 11,"Salaries, Benefits and Wages for Other GME Staff", 58.76% of total Salaries and Wages for Program Coordinator allocated to four residents for period 7/1/2021-12/31/2021. ,1278
FM,1819,col 12,Medical Equipment, 58.76% of total expenses allocated to four residents 7/1/2021-12/31/2021. ,1180
FM,1819,col 13,Faculty Development, 58.76% of total expenses for faculty development allocated to four residents for period 7/1/2021-12/31/2021. ,2024
IM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", MKSAP 19 digital subscriptions for categorical medicine residents as well as memberships in the ACP - professional development and curricluar preparation for Boards ,25000
OBGYN,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Stipends/Expenses ,1.00E+05
IM,2021,col 1,Unused Funds," Description, ",30000
IM,2021,col 1,Meals, Badge money-resident onboarding ,24000
IM,2021,col 2,Travel Conferences, Resident CHEST ACG conference ,1860
IM,2021,col 3,"Memberships, Subscriptions and Professional Activity Costs", New Innovations annual renewal ,689
IM,2021,col 4,"Salaries, Benefits and Wages for Faculty", .50% salary Dr. Sekhon (GI teaching) ,26250
IM,2021,col 5,"Salaries, Benefits and Wages for Faculty", .50% salary Dr. Aminian (Allery teaching) ,21996
IM,2021,col 6,"Salaries, Benefits and Wages for Faculty", .50 Salary Dr. Virk-Dulai (Rheumatology) ,20000
IM,2021,col 7,Training and Education Costs, React ACL/BLS Training interns onboarding ,4400
IM,2021,col 8,Meals, White coats intern onboarding ,1937.79
IM,2021,col 9,Faculty Development, Faculty development retreat ,6504
IM,2021,col 10,Unused Funds," Description, ",4863.21
IM,2021,col 1,Meals, meals for residents during COVID ,5000
IM,2021,col 2,"Salaries, Benefits and Wages for Residents", salary support for residents ,50000
FM,1819,col 1,Training and Education Costs, Resident Wellness Project ,5971.84
FM,1819,col 2,Training and Education Costs, Video Observation Project ,2378.51
FM,1819,col 3,"Memberships, Subscriptions and Professional Activity Costs", ZOOM ,52.07
FM,1819,col 4,Contractual Consultant Costs, Diversity Project ,11200
FM,1819,col 5,Contractual Consultant Costs, Diversity Project ,3000
FM,1819,col 6,"Salaries, Benefits and Wages for Residents", Resident Salaries ,14897.58
FM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Salary, Benefits, and Wages for Residents ",37500
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", 2020 PGY Resident Salaries and Benefits7/1/21-12/31/21 ,157957
FM,1819,col 2,Information Technology (IT) Systems, Software Maintenance 07/01/21-12/31/21 ,5252
FM,1819,col 3,Insurance, Professional and general liability insurance 07/01/21-12/31/21 ,5541
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", SALMAN R. AHMAD ,40067.7
IM,1819,col 2,"Salaries, Benefits and Wages for Residents", SALMAN R. AHMAD ,6730.95
IM,1819,col 3,Unused Funds, CHARGED TO AHS ,-9298.65
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,4167
IM,1819,col 2,"Salaries, Benefits and Wages for Faculty", Faculty Salaries ,66667
IM,1819,col 3,Training and Education Costs, MKSAP Board Prep Package and Membership - 43 Residents ,26774.28
IM,1819,col 4,Training and Education Costs, MKSAP Board Prep Package and Membership - 1 Residents ,723.25
IM,1819,col 5,Meals, Meals for Didactic Lectures - 6 Orders ,2782.6
IM,1819,col 6,Meals, Meals for Didactic Lectures - 6 Orders ,2418.2
IM,1819,col 7,Meals, Meals for Didactic Lectures - 6 Orders ,2418.2
IM,1819,col 8,"Memberships, Subscriptions and Professional Activity Costs", ACP Membership - 1 Resident ,69.42
IM,1819,col 9,Training and Education Costs, ACP Board Prep Curriculum - 44 Residents ,3300
IM,1819,col 10,Training and Education Costs, Q-Bank Step 3 Prep - 1 Resident ,399
IM,1819,col 11,Unused Funds, Unspent Funds ,93716.37
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", Salary Support for Matthew Macfarlane 07/01/2021 to 12/31/2021 ,41972.22
IM,1819,col 2,"Memberships, Subscriptions and Professional Activity Costs", CA Medical License Fee - Matthew MacFarlane ,830
IM,1819,col 3,Unused Funds, Did not use all the funds during the reporting period ,27510.49
IM,1819,col 1,"Salaries, Benefits and Wages for Faculty", Portion of benefits and salary for PD ,40000
IM,1819,col 2,"Salaries, Benefits and Wages for Residents", Portion of benefits and salaries for 3 residents ,72500
IM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Funds used for resident salaries, benefits and wages. ",112500
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident salary ,24075
IM,1819,col 2,"Salaries, Benefits and Wages for Residents", Medical/Dental insurance ,2233
IM,1819,col 3,"Salaries, Benefits and Wages for Faculty", Faculty slaary ,11192
IM,1819,col 1,"Salaries, Benefits and Wages for Faculty", GME Salary Support for IM Endocrinology faculty Dr. Uzma Haider ,37500
IM,1819,col 1,Non-Medical Benefits, Resident Courtesy Rewards ,6000
IM,1819,col 2,Training and Education Costs, Book Club - Leadership Development ,500
IM,1819,col 3,Training and Education Costs, Ultrasound Security and Tracking Software ,681.27
IM,1819,col 4,"Memberships, Subscriptions and Professional Activity Costs", Licensing Fee for Resident ,750
IM,1819,col 5,Faculty Development, Stanford Preventive Cardiology Online short course ,400
IM,1819,col 6,Training and Education Costs, Arterial Procedural Kits for Skills Training ,746.4
IM,1819,col 7,"Memberships, Subscriptions and Professional Activity Costs", FCCS Course Memberships ,3045
IM,1819,col 8,Training and Education Costs, FCCS Course Materials ,1371.27
IM,1819,col 9,Contractual Consultant Costs, FCCS Course Coordinator ,1507
IM,1819,col 10,Training and Education Costs, Lumify Ultrasound Probe Training and Viewing Devices ,102597.96
IM,1819,col 11,Faculty Development, POCUS Course for Faculty ,2250
IM,1819,col 12,Training and Education Costs, CVC Procedural Lab Kits ,3630.5
IM,1819,col 13,Training and Education Costs, Ventilator Training/Covid Response ,16650
IM,1819,col 14,Training and Education Costs, Cardiac Training Models ,664.66
IM,1819,col 15,Training and Education Costs, POCUS Online Modules ,2100
IM,1819,col 16,Training and Education Costs, Ultrasound probe training portable power banks and securing devices ,910
IM,1819,col 17,Travel Conferences, CHEST Ultrasonagraphy: Essentials in CC Workshop ,3400
IM,1819,col 18,Training and Education Costs, IM Hospitalist Track Program for residents ,380
IM,1819,col 19,Faculty Development, Academic Internal Medicine Week: ,2550
IM,1819,col 20,Faculty Development, APDIM Program Professional Development Course ,2560
IM,1819,col 21,Faculty Development, APDIM Spring Meeting Registration ,2550
IM,1819,col 22,Training and Education Costs, Additional Ultrasound Training Workshop and Materials for L12-4 and S4-1 US training ,24000
IM,1819,col 23,"Salaries, Benefits and Wages for Residents", Remaining funds to be used on resident salaries ,8255.94
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", from 7/1/2021-12/31/2021 ,56250
IM,1819,col 2,"Salaries, Benefits and Wages for Residents", from 1/1/2022-6/30/2022 ,112500
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", Wellness ,2246.86
IM,1819,col 2,Meals, ACP ITE Exam Meals ,705.66
IM,1819,col 3,Training and Education Costs," New Innovations conference/travel, Faculty development ",10880.53
IM,1819,col 4,Medical Equipment," Figs scrubs, Medelita white coats ",1155.03
IM,1819,col 5,"Salaries, Benefits and Wages for Faculty", Dr. Trinh (Geriatrics Med Staff Dues) ,300
IM,1819,col 6,"Salaries, Benefits and Wages for Faculty"," %50 salary Dr. Lyons, Wellness ",5800
IM,1819,col 7,"Salaries, Benefits and Wages for Faculty", .25% Salary CVCOM Cardio teaching ,135000
IM,1819,col 8,"Salaries, Benefits and Wages for Other GME Staff", IM Program Coordinator Salary ,55234
IM,1819,col 9,"Memberships, Subscriptions and Professional Activity Costs"," American Physicians, Medstudy, ACGME renewal ",16779.73
IM,1819,col 10,"Memberships, Subscriptions and Professional Activity Costs", Recruitment ,1689.19
IM,1819,col 11,Unused Funds," Description, ",3916.14
